stop_id,stop_name,stop_lat,stop_lon
100189,UNIVERSITY AV/W FORDHAM RD,40.862861,-73.904923
100191,UNIVERSITY AV/W 183 ST,40.859354,-73.908072
100195,UNIVERSITY AV/W TREMONT AV,40.850235,-73.916007
100197,UNIVERSITY AV/W 176 ST,40.848679,-73.918097
100198,UNIVERSITY AV/W 174 ST,40.846977,-73.920644
100199,UNIVERSITY AV/WASHINGTON BRIDGE,40.845313,-73.922556
100204,WESTCHESTER AV/ST ANNS AV,40.816026,-73.912148
100206,WESTCHESTER AV/JACKSON AV,40.816164,-73.908320
100207,WESTCHESTER AV/E 156 ST,40.817829,-73.905423
100209,WESTCHESTER AV/PROSPECT AV,40.819413,-73.902025
100211,WESTCHESTER AV/REV J POLITE AV,40.820880,-73.899106
100212,WESTCHESTER AV/INTERVALE AV,40.821942,-73.897089
100213,WESTCHESTER AV/TIFFANY ST,40.822989,-73.895064
100214,WESTCHESTER AV/SIMPSON ST,40.824006,-73.893119
100219,WESTCHESTER AV/WHITLOCK AV,40.827495,-73.886273
100221,WESTCHESTER AV/ELDER AV,40.828514,-73.879317
100223,WESTCHESTER AV/MANOR AV,40.828936,-73.876559
100224,WESTCHESTER AV/MORRISON AV,40.829418,-73.874811
100227,WESTCHESTER AV/ST LAWRENCE AV,40.831479,-73.867565
100229,WESTCHESTER AV/THIERIOT AV,40.832283,-73.864796
100230,WESTCHESTER AV/WHITE PLAINS RD,40.832780,-73.862939
100232,WESTCHESTER AV/PUGSLEY AV,40.833501,-73.857922
100233,WESTCHESTER AV/OLMSTEAD AV,40.833915,-73.854443
100234,WESTCHESTER AV/CASTLE HILL AV,40.834155,-73.851827
100235,WESTCHESTER AV/ZEREGA AV,40.836705,-73.846717
100236,WESTCHESTER AV/ST PETERS AV,40.838430,-73.844688
100239,WESTCHESTER AV/ST PETERS AV,40.838694,-73.844549
100240,WESTCHESTER AV/ZEREGA AV,40.836939,-73.846611
100242,WESTCHESTER AV/CASTLE HILL AV,40.834285,-73.851469
100243,WESTCHESTER AV/OLMSTEAD AV,40.834011,-73.854454
100244,WESTCHESTER AV/PUGSLEY AV,40.833634,-73.857595
100245,HUGH GRANT CIR/CROSS BX SVC RD,40.833603,-73.861155
100246,WESTCHESTER AV/WHITE PLAINS RD,40.833124,-73.862536
100247,WESTCHESTER AV/THIERIOT AV,40.832481,-73.864456
100249,WESTCHESTER AV/ST LAWRENCE AV,40.831740,-73.867069
100253,WESTCHESTER AV/MORRISON AV,40.829621,-73.874493
100254,WESTCHESTER AV/MANOR AV,40.829099,-73.876293
100255,WESTCHESTER AV/BOYNTON AV,40.828733,-73.878123
100256,WESTCHESTER AV/ELDER AV,40.828652,-73.879059
100259,WESTCHESTER AV/HOME ST,40.827447,-73.886598
100260,WESTCHESTER AV/HOE AV,40.825262,-73.890870
100261,WESTCHESTER AV/SIMPSON ST,40.824310,-73.892769
100262,WESTCHESTER AV/TIFFANY ST,40.823287,-73.894721
100264,WESTCHESTER AV/E 163 ST,40.821181,-73.898798
100265,WESTCHESTER AV/PROSPECT AV,40.819923,-73.901226
100267,WESTCHESTER AV/TINTON AV,40.818205,-73.904801
100268,WESTCHESTER AV/JACKSON AV,40.816511,-73.907907
100270,WESTCHESTER AV/ST ANNS AV,40.816075,-73.911730
100273,SOUTHERN BL/WESTCHESTER AV,40.824370,-73.891944
100275,STORY AV/BRONX RIVER AV,40.821035,-73.881721
100276,STORY AV/COLGATE AV,40.821280,-73.879856
100277,STORY AV/ELDER AV,40.821595,-73.877734
100278,STORY AV/BOYNTON AV,40.821789,-73.876062
100279,STORY AV/MORRISON AV,40.822192,-73.873098
100280,STORY AV/METCALF AV,40.822549,-73.870532
100281,STORY AV/NOBLE AV,40.822840,-73.868299
100282,STORY AV/ROSEDALE AV,40.823091,-73.866506
100283,STORY AV/TAYLOR AV,40.823497,-73.863683
100284,STORY AV/THIERIOT AV,40.823673,-73.862104
100294,BRUCKNER BL/E TREMONT AV,40.833162,-73.827592
100295,BRUCKNER BL/LOGAN AV,40.834136,-73.825631
100296,BRUCKNER BL/KEARNEY AV,40.839140,-73.824851
100298,MACDONOUGH PL/COUNTRY CLUB RD,40.842501,-73.825110
100299,BRUCKNER BL/MIDDLETOWN RD,40.845754,-73.825391
100304,PELHAM PKWY/EASTCHESTER RD,40.857870,-73.844299
100305,PELHAM PKWY/SEYMOUR AV,40.858060,-73.846615
100306,PELHAM PKWY/THROOP AV,40.858026,-73.851524
100317,PELHAM PKWY/EASTCHESTER RD,40.857271,-73.843935
100318,PELHAM PKWY/STILLWELL AV,40.856475,-73.838814
100319,PELHAM PKWY/ST PAUL AV,40.855472,-73.830704
100322,BRUCKNER BL/WILLOW LA,40.848936,-73.828039
100323,BRUCKNER BL/ROBERTS AV,40.846613,-73.826719
100324,BRUCKNER BL/MIDDLETOWN RD,40.844904,-73.826192
100325,BRUCKNER BL/JARVIS AV,40.843134,-73.826298
100326,BRUCKNER BL/CODDINGTON AV,40.841438,-73.826168
100328,BRUCKNER BL/BAISLEY AV,40.837136,-73.825919
100329,BRUCKNER BL/CROSBY AV,40.834499,-73.826158
100330,BRUCKNER BL/E TREMONT AV,40.832977,-73.829074
100331,BRUCKNER BL/GIFFORD AV,40.831307,-73.831724
100337,STORY AV/BOLTON AV,40.824164,-73.859675
100338,STORY AV/UNDERHILL AV,40.823930,-73.861132
100339,STORY AV/TAYLOR AV,40.823533,-73.864002
100340,STORY AV/ROSEDALE AV,40.823152,-73.866918
100341,STORY AV/SOUNDVIEW AV,40.822896,-73.868678
100342,STORY AV/FTELEY AV,40.822659,-73.870545
100343,STORY AV/MORRISON AV,40.822262,-73.873406
100344,STORY AV/BOYNTON AV,40.821762,-73.877189
100347,STORY AV/BRONX RIVER AV,40.821109,-73.882065
100363,E 161 ST/RIVER AV,40.827792,-73.926096
100366,E 161 ST/CONCOURSE VILLAGE E,40.825343,-73.918099
100367,E 161 ST/PARK AV,40.824865,-73.916451
100368,E 161 ST/MELROSE AV,40.824041,-73.913643
100369,ELTON AV/E 161 ST,40.823720,-73.911709
100370,E 163 ST/3 AV,40.824064,-73.908925
100373,E 163 ST/TINTON AV,40.822518,-73.902747
100374,E 163 ST/PROSPECT AV,40.821893,-73.900189
100376,E 163 ST/WESTCHESTER AV,40.820906,-73.898496
100379,E 163 ST/FOX ST,40.820910,-73.893001
100382,HUNTS POINT AV/SENECA AV,40.819273,-73.889683
100383,HUNTS POINT AV/GILBERT PL,40.817513,-73.888555
100384,HUNTS POINT AV/COSTER ST,40.816070,-73.887579
100385,SPOFFORD AV/BRYANT AV,40.814586,-73.885118
100415,HUNTS POINT AV/SPOFFORD AV,40.814653,-73.885892
100416,HUNTS POINT AV/FAILE ST,40.815915,-73.887208
100417,HUNTS POINT AV/LAFAYETTE AV,40.816960,-73.888160
100419,HUNTS POINT AV/SENECA AV,40.818922,-73.889324
100421,E 163 ST/SIMPSON ST,40.821010,-73.893261
100424,E 163 ST/WESTCHESTER AV,40.820972,-73.898853
100425,E 163 ST/PROSPECT AV,40.822313,-73.901070
100428,E 163 ST/TRINITY AV,40.823544,-73.906235
100431,E 161 ST/MELROSE AV,40.824404,-73.914216
100433,E 161 ST/PARK AV,40.825183,-73.916910
100449,BROADWAY/W 225 ST,40.874900,-73.909201
100450,BROADWAY/W 228 ST,40.875698,-73.908194
100451,BROADWAY/EXTERIOR ST,40.876732,-73.906430
100459,HENRY HUDSON PKY E/W 246 ST,40.893961,-73.907908
100460,HENRY HUDSON PKY E/W 250 ST,40.897735,-73.907574
100461,HENRY HUDSON PKY E/W 252 ST,40.899288,-73.906659
100462,RIVERDALE AV/W 254 ST,40.901963,-73.905859
100463,RIVERDALE AV/W 256 ST,40.904309,-73.904842
100464,RIVERDALE AV/W 259 ST,40.907140,-73.903907
100465,RIVERDALE AV/W 260 ST,40.908712,-73.903544
100466,RIVERDALE AV/W 261 ST,40.910398,-73.903027
100469,RIVERDALE AV/W 261 ST,40.910225,-73.903269
100470,RIVERDALE AV/W 260 ST,40.908491,-73.903786
100471,RIVERDALE AV/W 259 ST,40.906534,-73.904313
100472,RIVERDALE AV/W 256 ST,40.903917,-73.905204
100473,RIVERDALE AV/W 254 ST,40.901894,-73.906064
100474,HENRY HUDSON PKY W/W 252 ST,40.899008,-73.907780
100475,HENRY HUDSON PKY W/W 249 ST,40.897000,-73.908291
100482,KINGSBRIDGE AV/W 230 ST,40.878459,-73.907984
100483,W 230 ST/BROADWAY,40.876768,-73.906803
100484,BROADWAY/W 228 ST,40.875752,-73.908250
100485,BROADWAY/W 225 ST,40.874360,-73.910190
100492,WILLIAMSBRIDGE RD/EASTCHESTER RD,40.844441,-73.846043
100493,WILLIAMSBRIDGE RD/PIERCE AV,40.847385,-73.849170
100494,WILLIAMSBRIDGE RD/MORRIS PK AV,40.850225,-73.851173
100495,WILLIAMSBRIDGE RD/RHINELANDER AV,40.852588,-73.853022
100496,WILLIAMSBRIDGE RD/NEILL AV,40.854531,-73.854532
100499,WILLIAMSBRIDGE RD/ASTOR AV,40.859582,-73.857225
100500,WILLIAMSBRIDGE RD/MACE AV,40.862923,-73.857891
100501,WILLIAMSBRIDGE RD/ALLERTON AV,40.865362,-73.859418
100502,WILLIAMSBRIDGE RD/BOSTON RD,40.867063,-73.860948
100503,BRONXWOOD AV/ARNOW AV,40.868125,-73.861361
100504,BRONXWOOD AV/ADEE AV,40.869467,-73.861311
100505,BRONXWOOD AV/BURKE AV,40.871680,-73.861249
100506,BRONXWOOD AV/DUNCAN ST,40.873431,-73.861184
100508,BRONXWOOD AV/TILDEN ST,40.876747,-73.859683
100509,BRONXWOOD AV/E 214 ST,40.878620,-73.858653
100510,BRONXWOOD AV/E 216 ST,40.879904,-73.857941
100511,BRONXWOOD AV/E 218 ST,40.881303,-73.857168
100512,BRONXWOOD AV/E 220 ST,40.882696,-73.856402
100513,BRONXWOOD AV/E 222 ST,40.884150,-73.855599
100514,BRONXWOOD AV/E 224 ST,40.885505,-73.854841
100515,E 226 ST/BRONXWOOD AV,40.886863,-73.854718
100516,E 226 ST/BARNES AV,40.887764,-73.857552
100517,E 226 ST/WHITE PLAINS RD,40.888497,-73.859879
100522,BRONXWOOD AV/E 222 ST,40.883561,-73.856190
100523,BRONXWOOD AV/E 220 ST,40.882189,-73.856938
100524,BRONXWOOD AV/E 218 ST,40.880774,-73.857729
100525,BRONXWOOD AV/E 216 ST,40.879370,-73.858503
100526,BRONXWOOD AV/E 214 ST,40.878097,-73.859200
100527,BRONXWOOD AV/TILDEN ST,40.876534,-73.860078
100528,BRONXWOOD AV/E GUN HILL RD,40.875661,-73.860554
100529,BRONXWOOD AV/BARTHOLDI ST,40.873343,-73.861452
100530,BRONXWOOD AV/BURKE AV,40.870985,-73.861511
100531,BRONXWOOD AV/ADEE AV,40.869254,-73.861565
100532,BRONXWOOD AV/ARNOW AV,40.867936,-73.861607
100533,WILLIAMSBRIDGE RD/BOSTON RD,40.866780,-73.860948
100534,WILLIAMSBRIDGE RD/ALLERTON AV,40.865653,-73.859938
100535,WILLIAMSBRIDGE RD/MACE AV,40.862717,-73.858017
100536,WILLIAMSBRIDGE RD/ASTOR AV,40.859370,-73.857414
100537,WILLIAMSBRIDGE RD/PELHAM PY N,40.857670,-73.856517
100538,WILLIAMSBRIDGE RD/PELHAM PY S,40.856632,-73.856086
100539,WILLIAMSBRIDGE RD/NEILL AV,40.853858,-73.854288
100540,WILLIAMSBRIDGE RD/RHINELANDER AV,40.852119,-73.852911
100541,WILLIAMSBRIDGE RD/MORRIS PK AV,40.850349,-73.851498
100542,WILLIAMSBRIDGE RD/PIERCE AV,40.846910,-73.849059
100543,WILLIAMSBRIDGE RD/SILVER ST,40.844076,-73.845989
100558,E 180 ST/BOSTON RD,40.842681,-73.878252
100559,E 180 ST/DALY AV,40.844777,-73.881784
100560,E 180 ST/CROTONA PY,40.845819,-73.883961
100561,SOUTHERN BL/BRONX PK S,40.847688,-73.883127
100562,SOUTHERN BL/E 183 ST,40.851175,-73.882170
100563,SOUTHERN BL/E 187 ST,40.853214,-73.881577
100564,SOUTHERN BL/E 189 ST,40.856408,-73.880682
100565,E FORDHAM RD/CAMBERLENG AV,40.858134,-73.882985
100567,E FORDHAM RD/BATHGATE AV,40.859851,-73.887646
100571,E KINGSBRIDGE RD/E 192 ST,40.863823,-73.894194
100573,E KINGSBRIDGE RD/MORRIS AV,40.867294,-73.896876
100576,W KINGSBRIDGE RD/KINGSBRIDGE TER,40.870345,-73.904246
100579,W 225 ST/BROADWAY,40.874486,-73.909403
100582,BROADWAY/W 231 ST,40.878788,-73.904848
100583,BROADWAY/W 234 ST,40.881534,-73.902790
100585,BROADWAY/W 238 ST,40.884966,-73.900634
100586,BROADWAY/VAN CORTLANDT PK S,40.886376,-73.899709
100587,BROADWAY/W 242 ST,40.889761,-73.897936
100588,BROADWAY/W 246 ST,40.892052,-73.896966
100589,BROADWAY/W 251 ST,40.895684,-73.896637
100590,BROADWAY/LAKE VIEW PL,40.898497,-73.896946
100591,BROADWAY/W 254 ST,40.901357,-73.896670
100592,BROADWAY/MOSHOLU AV,40.904201,-73.896336
100594,BROADWAY/W 260 ST,40.907417,-73.896407
100595,BROADWAY/W 262 ST,40.910081,-73.896495
100606,RIVERDALE AV/W 263 ST,40.912377,-73.902533
100607,RIVERDALE AV/W 263 ST,40.912363,-73.902699
100608,BROADWAY/W 262 ST,40.910104,-73.896730
100609,BROADWAY/W 260 ST,40.907175,-73.896664
100610,BROADWAY/MOSHOLU AV,40.904244,-73.896539
100612,BROADWAY/W 254 ST,40.901169,-73.896915
100613,BROADWAY/LAKE VIEW PL,40.898665,-73.897242
100614,BROADWAY/W 251 ST,40.895876,-73.896856
100615,BROADWAY/W 246 ST,40.892236,-73.897158
100616,BROADWAY/W 242 ST,40.890027,-73.898243
100617,BROADWAY/W 240 ST,40.886686,-73.899919
100618,BROADWAY/W 238 ST,40.885241,-73.900666
100619,BROADWAY/W 236 ST,40.883606,-73.901590
100620,BROADWAY/W 234 ST,40.881798,-73.902826
100621,BROADWAY/W 231 ST,40.879060,-73.904768
100622,BROADWAY/KIMBERLY PL,40.877909,-73.905620
100624,W 225 ST/BROADWAY,40.874274,-73.909375
100626,W KINGSBRIDGE RD/HEATH AV,40.872591,-73.904832
100627,W KINGSBRIDGE RD/KINGSBRIDGE TER,40.870420,-73.904578
100629,W KINGSBRIDGE RD/UNIVERSITY AV,40.868262,-73.901233
100630,W KINGSBRIDGE RD/JEROME AV,40.867430,-73.897670
100631,E KINGSBRIDGE RD/GRAND CONCOURSE,40.865850,-73.894274
100632,E KINGSBRIDGE RD/E192 ST,40.863722,-73.894364
100633,E KINGSBRIDGE RD/E FORDHAM RD,40.862089,-73.893936
100636,E FORDHAM RD/BATHGATE AV,40.859601,-73.887654
100640,SOUTHERN BL/E FORDHAM RD,40.856252,-73.880972
100641,SOUTHERN BL/E 187 ST,40.853173,-73.881852
100642,SOUTHERN BL/E 183 ST,40.850918,-73.882488
100643,SOUTHERN BL/E 182 ST,40.847976,-73.883339
100644,E 180 ST/MOHEGAN AV,40.845561,-73.883747
100645,E 180 ST/DALY AV,40.844403,-73.881557
100646,BOSTON RD/E 180 ST,40.842561,-73.878332
100647,BOSTON RD/E 178 ST,40.840915,-73.879477
100652,BAINBRIDGE AV/RESERVOIR OVAL E,40.877311,-73.879677
100654,E GUN HILL RD/BAINBRIDGE AV,40.881347,-73.878833
100655,E GUN HILL RD/DE KALB AV,40.882485,-73.880700
100657,JEROME AV/E 205 ST,40.876457,-73.888096
100675,KAPPOCK ST/JOHNSON AV,40.877566,-73.917738
100676,KAPPOCK ST/KNOLLS CRES,40.879473,-73.916643
100677,HENRY HUDSON PKY E/W 227 ST,40.881180,-73.917093
100678,HENRY HUDSON PKY E/W 232 ST,40.884434,-73.914569
100679,HENRY HUDSON PKY E/W 235 ST,40.886017,-73.912559
100680,HENRY HUDSON PKY E/W 238 ST,40.888566,-73.909655
100700,HENRY HUDSON PKY W/W 239 ST,40.889606,-73.909010
100701,HENRY HUDSON PKY W/W 237 ST,40.887849,-73.911920
100702,HENRY HUDSON PKY W/W 236 ST,40.886798,-73.912533
100703,HENRY HUDSON PKY W/W 232 ST,40.884346,-73.915205
100704,HENRY HUDSON PKY W/W 227 ST,40.881570,-73.917346
100705,HENRY HUDSON PKY W/INDEPENDENCE AV,40.880804,-73.918950
100706,KAPPOCK ST/KNOLLS CRES,40.879090,-73.916789
100707,KAPPOCK ST/JOHNSON AV,40.877396,-73.918013
100723,W 205 ST/PAUL AV,40.876999,-73.889855
100726,JEROME AV/E 205 ST,40.875794,-73.888278
100727,JEROME AV/E MOSHOLU PY N,40.880473,-73.883750
100729,BAINBRIDGE AV/E GUN HILL RD,40.880732,-73.878634
100730,BAINBRIDGE AV/E 210 ST,40.879332,-73.879113
100731,BAINBRIDGE AV/VAN CORTLANDT AV E,40.877090,-73.879774
100737,OGDEN AV/UNIVERSITY AV,40.843611,-73.923774
100738,OGDEN AV/W 171 ST,40.842208,-73.924406
100740,OGDEN AV/W 169 ST,40.840238,-73.925301
100741,W 168 ST/NELSON AV,40.838256,-73.924573
100742,WOODYCREST AV/W 168 ST,40.838422,-73.923294
100743,SHAKESPEARE AV/W 169 ST,40.839536,-73.922454
100744,W 170 ST/EDWARD L GRANT HY,40.840265,-73.921646
100745,W 170 ST/JEROME AV,40.840210,-73.917817
100748,E 170 ST/FINDLAY AV,40.837156,-73.909806
100749,E 170 ST/CLAY AV,40.837093,-73.908229
100750,CLAY AV/E 171 ST,40.838632,-73.906391
100751,CLAREMONT PKY/WEBSTER AV,40.839509,-73.904973
100752,CLAREMONT PKY/WASHINGTON AV,40.838615,-73.902322
100753,CLAREMONT PKY/3 AV,40.838090,-73.901107
100754,CLAREMONT PKY/CROTONA AV,40.836376,-73.898033
100755,CLAREMONT PKY/BOSTON RD,40.834931,-73.894266
100761,LOUIS NINE BL/BOSTON RD,40.834924,-73.893882
100762,CLAREMONT PKY/CROTONA PARK E,40.835389,-73.895119
100763,CLAREMONT PKY/CROTONA AV,40.836540,-73.897614
100764,CLAREMONT PKY/3 AV,40.838270,-73.901294
100765,CLAREMONT PKY/WASHINGTON AV,40.839093,-73.902990
100766,CLAREMONT PKY/WEBSTER AV,40.839795,-73.905146
100768,E 170 ST/TELLER AV,40.836992,-73.909096
100769,E 170 ST/COLLEGE AV,40.837677,-73.910947
100771,E 170 ST/WALTON AV,40.839765,-73.916263
100772,E 170 ST/JEROME AV,40.840227,-73.917484
100773,W 170 ST/EDWARD L. GRANT HY,40.840323,-73.921134
100775,SHAKESPEARE AV/W 169 ST,40.839023,-73.922795
100779,PLIMPTON AV/EDWARD L. GRANT HY,40.842407,-73.922982
100780,EDWARD L GRANT HY/UNIVERSITY AV,40.843960,-73.922796
100796,W FORDHAM RD/UNIVERSITY AV,40.862703,-73.904256
100797,E FORDHAM RD/WALTON AV,40.862451,-73.900497
100798,E FORDHAM RD/GRAND CONCOURSE,40.862394,-73.897565
100799,E FORDHAM RD/VALENTINE AV,40.862236,-73.896010
100807,E FORDHAM RD/SOUTHERN BL,40.856465,-73.880146
100808,PELHAM PKWY/WHITE PLAINS RD,40.856715,-73.867834
100809,PELHAM PKWY/MULINER AV,40.856878,-73.861761
100811,PELHAM PKWY/WILLIAMSBRIDGE RD,40.857026,-73.856230
100820,CITY ISLAND AV/KILROE ST,40.854659,-73.791003
100821,CITY ISLAND AV/CROSS ST,40.853283,-73.790045
100822,CITY ISLAND AV/BEACH ST,40.851731,-73.788990
100823,CITY ISLAND AV/DITMARS ST,40.849464,-73.787397
100824,CITY ISLAND AV/FORDHAM ST,40.846915,-73.786479
100825,CITY ISLAND AV/SCHOFIELD ST,40.844820,-73.785690
100826,CITY ISLAND AV/WINTERS ST,40.843817,-73.785314
100827,CITY ISLAND AV/PELL PL,40.842177,-73.784701
100828,CITY ISLAND AV/PILOT ST,40.841279,-73.784368
100829,CITY ISLAND AV/ROCHELLE ST,40.838969,-73.783486
100840,PELHAM PKWY/WILLIAMSBRIDGE RD,40.857548,-73.856642
100842,PELHAM PKWY/WHITE PLAINS RD,40.857321,-73.867413
100843,E FORDHAM RD/SOUTHERN BL,40.857310,-73.880492
